nm	lamp	intensity
280	training	3.915
281	training	5.026666667
282	training	4.77
283	training	5.265
284	training	4.453333333
285	training	4.53
286	training	4.685
287	training	5.056666667
288	training	4.253333333
289	training	4.76
290	training	4.006666667
291	training	3.785
292	training	4.24
293	training	3.686666667
294	training	4.05
295	training	3.78
296	training	3.75
297	training	3.065
298	training	3.96
299	training	3.943333333
300	training	3.555
301	training	3.553333333
302	training	3.38
303	training	3.36
304	training	3.336666667
305	training	3.105
306	training	3.036666667
307	training	3.14
308	training	2.82
309	training	2.71
310	training	3.153333333
311	training	2.395
312	training	3.326666667
313	training	2.466666667
314	training	2.41
315	training	2.813333333
316	training	2.416666667
317	training	2.505
318	training	3.04
319	training	2.493333333
320	training	2.7
321	training	2.26
322	training	2.27
323	training	2.67
324	training	2.676666667
325	training	2.316666667
326	training	2.59
327	training	2.3
328	training	2.413333333
329	training	2.295
330	training	2.8
331	training	2.536666667
332	training	2.37
333	training	2.446666667
334	training	2.28
335	training	2.675
336	training	2.766666667
337	training	2.53
338	training	2.37
339	training	2.18
340	training	2.173333333
341	training	2.28
342	training	2.7
343	training	3.123333333
344	training	2.75
345	training	3.01
346	training	2.636666667
347	training	2.883333333
348	training	2.845
349	training	2.886666667
350	training	3.173333333
351	training	3.05
352	training	3.106666667
353	training	3.026666667
354	training	2.88
355	training	3.42
356	training	3.256666667
357	training	3.61
358	training	3.603333333
359	training	3.746666667
360	training	3.475
361	training	3.833333333
362	training	3.59
363	training	3.833333333
364	training	4.05
365	training	4.286666667
366	training	4.056666667
367	training	4.31
368	training	3.963333333
369	training	4.213333333
370	training	4.33
371	training	4.623333333
372	training	5.136666667
373	training	5.58
374	training	5.98
375	training	6.35
376	training	6.926666667
377	training	7.98
378	training	8.303333333
379	training	8.943333333
380	training	9.95
381	training	11.45
382	training	11.95666667
383	training	13.5
384	training	14.255
385	training	15.73
386	training	16.97666667
387	training	18.09333333
388	training	19.24
389	training	20.46
390	training	21.61
391	training	22.5
392	training	23.3
393	training	23.32666667
394	training	24.25333333
395	training	25.535
396	training	26.52
397	training	27.16
398	training	27.65
399	training	28.84333333
400	training	29.31666667
401	training	30.09
402	training	31.18
403	training	32.14666667
404	training	32.83666667
405	training	34.21666667
406	training	34.79
407	training	35.09333333
408	training	36.49333333
409	training	36.95666667
410	training	37.93
411	training	38.47
412	training	38.90333333
413	training	39.885
414	training	40.69
415	training	40.95333333
416	training	41.48
417	training	42.72
418	training	43.46333333
419	training	43.95666667
420	training	45.06333333
421	training	46.595
422	training	47.51333333
423	training	48.7
424	training	49.86333333
425	training	50.705
426	training	51.80666667
427	training	53.39
428	training	54.32333333
429	training	55.8
430	training	56.49666667
431	training	57.23666667
432	training	58.93
433	training	59.865
434	training	60.01333333
435	training	60.86666667
436	training	61.41333333
437	training	63.69
438	training	65.26333333
439	training	65.10333333
440	training	66.24
441	training	67.33666667
442	training	68.66
443	training	69.34333333
444	training	70.81
445	training	72.17
446	training	72.895
447	training	73.24333333
448	training	75.76
449	training	77.12666667
450	training	77.975
451	training	80.16
452	training	81.86
453	training	82.42333333
454	training	82.85666667
455	training	86.79
456	training	87.52333333
457	training	88.05333333
458	training	89.08333333
459	training	90.34
460	training	92.67666667
461	training	94.16333333
462	training	96.21
463	training	97.91333333
464	training	99.46
465	training	101.8
466	training	104.41
467	training	106.0366667
468	training	109.35
469	training	111.5766667
470	training	113.3666667
471	training	117.41
472	training	119.6533333
473	training	122.78
474	training	124.8633333
475	training	127.99
476	training	131.27
477	training	134.3366667
478	training	137.225
479	training	139.5166667
480	training	142.23
481	training	143.46
482	training	145.57
483	training	144.68
484	training	146.4133333
485	training	146.39
486	training	146.3433333
487	training	146.3866667
488	training	146.4733333
489	training	146.475
490	training	145.87
491	training	144.8766667
492	training	145.03
493	training	143.6433333
494	training	144.865
495	training	144.2466667
496	training	143.9533333
497	training	143.84
498	training	144.55
499	training	144.155
500	training	146.0633333
501	training	146.34
502	training	146.2033333
503	training	146.5933333
504	training	147.9333333
505	training	148.425
506	training	149.19
507	training	149.7366667
508	training	150.99
509	training	151.8333333
510	training	153.2366667
511	training	154.4
512	training	155.3166667
513	training	156.4733333
514	training	157.3133333
515	training	158.49
516	training	159.4433333
517	training	161.11
518	training	161.0966667
519	training	162.4766667
520	training	163.8633333
521	training	164.3466667
522	training	165.85
523	training	166.2933333
524	training	167.855
525	training	167.8666667
526	training	168.82
527	training	169.6333333
528	training	170.7666667
529	training	171.8033333
530	training	171.7066667
531	training	173.12
532	training	173.9866667
533	training	174.5833333
534	training	175.8366667
535	training	176.3333333
536	training	177.2466667
537	training	178.6033333
538	training	179.865
539	training	180.4866667
540	training	181.4266667
541	training	182.2133333
542	training	183.8233333
543	training	185.0433333
544	training	185.8466667
545	training	186.925
546	training	187.8566667
547	training	189.47
548	training	190.5566667
549	training	191.7966667
550	training	193.33
551	training	193.8833333
552	training	195.8566667
553	training	197.0733333
554	training	197.38
555	training	198.7133333
556	training	200.27
557	training	201.2233333
558	training	202.4033333
559	training	203.3233333
560	training	205.1866667
561	training	205.6933333
562	training	207.0566667
563	training	208.315
564	training	209.0033333
565	training	210.4066667
566	training	211.3466667
567	training	212.3166667
568	training	213.0933333
569	training	215.11
570	training	215.9133333
571	training	216.9333333
572	training	217.76
573	training	218.2
574	training	219.5633333
575	training	220.73
576	training	221.5366667
577	training	222.7333333
578	training	223.83
579	training	224.0066667
580	training	225.5166667
581	training	226.7633333
582	training	227.4166667
583	training	228.2
584	training	229.34
585	training	229.8766667
586	training	230.73
587	training	231.9
588	training	232.9666667
589	training	234.5733333
590	training	234.6966667
591	training	236.02
592	training	236.3866667
593	training	237.7866667
594	training	238
595	training	239.39
596	training	241.0633333
597	training	241.7433333
598	training	243.035
599	training	243.1933333
600	training	244.5633333
601	training	244.9866667
602	training	246.8433333
603	training	247.6733333
604	training	249.1466667
605	training	250.19
606	training	251.59
607	training	252.6333333
608	training	254.4766667
609	training	255.63
610	training	257.4533333
611	training	257.58
612	training	260.26
613	training	260.89
614	training	262.8966667
615	training	263.0966667
616	training	265.4033333
617	training	266.1133333
618	training	267.1933333
619	training	267.28
620	training	268.4266667
621	training	269.9
622	training	270.23
623	training	271.1433333
624	training	272.2066667
625	training	273.02
626	training	273.8
627	training	274.8366667
628	training	275.24
629	training	276.9033333
630	training	278.0066667
631	training	278.7566667
632	training	280.2733333
633	training	282.18
634	training	282.67
635	training	284.3266667
636	training	286.5966667
637	training	287.5533333
638	training	289.3933333
639	training	290.6266667
640	training	291.8733333
641	training	294.05
642	training	295.5433333
643	training	296.4
644	training	298.4266667
645	training	300.14
646	training	300.5933333
647	training	302.4166667
648	training	304.5633333
649	training	306.77
650	training	306.8866667
651	training	309.42
652	training	311.0133333
653	training	311.7666667
654	training	313.3166667
655	training	313.9166667
656	training	316.32
657	training	317.1
658	training	318.6266667
659	training	320.0366667
660	training	321.36
661	training	322.1266667
662	training	324.1
663	training	324.9
664	training	325.7966667
665	training	325.79
