ID	Date	length	label
11	25-May	1.326	a
11	6-Jun	1.304	b
11	6-Jun	1.319	c
18	25-May	1.257	a
18	6-Jun	1.286	b
18	6-Jun	1.273	c
33	25-May	1.272	a
33	6-Jun	1.306	b
33	6-Jun	1.288	c
50	25-May	1.379	a
50	6-Jun	1.358	b
50	6-Jun	1.368	c
51	25-May	1.319	a
51	6-Jun	1.333	b
51	6-Jun	1.346	c
97	25-May	1.364	a
97	19-Jun	1.4	b
97	19-Jun	1.389	c
146	26-May	1.276	a
146	6-Jun	1.306	b
146	6-Jun	1.295	c
242	6-Jun	1.333	a
242	6-Jun	1.335	b
280	13-Jun	1.309	a
280	13-Jun	1.296	b
280	13-Jun	1.313	c
303	19-Jun	1.345	a
303	19-Jun	1.324	b
303	19-Jun	1.335	c
304	19-Jun	1.368	a
304	19-Jun	1.385	b
304	19-Jun	1.357	c
305	19-Jun	1.357	a
305	19-Jun	1.337	b
305	19-Jun	1.314	c
306	19-Jun	1.239	a
306	19-Jun	1.227	b
306	19-Jun	1.231	c
307	19-Jun	1.325	a
307	19-Jun	1.306	b
307	19-Jun	1.315	c
308	19-Jun	1.267	a
308	19-Jun	1.267	b
308	19-Jun	1.274	c
309	19-Jun	1.341	a
309	19-Jun	1.332	b
309	19-Jun	1.326	c
310	19-Jun	1.332	a
310	19-Jun	1.324	b
310	19-Jun	1.352	c
311	19-Jun	1.208	a
311	19-Jun	1.273	b
311	19-Jun	1.282	c
312	22-Jun	1.316	a
312	22-Jun	1.325	b
312	22-Jun	1.306	c
313	22-Jun	1.337	a
313	22-Jun	1.327	b
313	22-Jun	1.314	c
