"FID","Trt","AttackRedYN","LatencyAttack","rowID"
17102,"RedAverse",0,NA,1
17102,"RedAverse",0,4.88333333333333,2
17102,"RedAverse",0,60,3
17103,"RedPreference",1,44.3166666666667,4
17104,"RedAverse",0,NA,5
17104,"RedAverse",1,27.4333333333333,6
17104,"RedAverse",1,1980,7
17105,"RedPreference",1,15.25,8
17106,"RedAverse",1,41.0833333333333,9
17106,"RedAverse",0,24.9666666666667,10
17107,"RedPreference",1,0.7,11
17107,"RedPreference",1,0.833333333333333,12
17108,"RedAverse",1,13.75,13
17108,"RedAverse",1,25.5833333333333,14
17109,"RedPreference",1,1.35,15
17109,"RedPreference",1,0.366666666666667,16
17111,"RedAverse",0,NA,17
17111,"RedAverse",0,0.5,18
17111,"RedAverse",1,4860,19
17112,"RedPreference",1,1.16666666666667,20
17112,"RedPreference",0,13.7333333333333,21
17113,"RedPreference",0,NA,22
17113,"RedPreference",1,32.55,23
17114,"RedAverse",0,NA,24
17114,"RedAverse",1,23.2166666666667,25
17115,"RedAverse",0,NA,26
17115,"RedAverse",0,2.15,27
17115,"RedAverse",1,1020,28
17117,"RedPreference",1,0.583333333333333,29
17117,"RedPreference",1,0.433333333333333,30
17118,"RedAverse",1,63.65,31
17118,"RedAverse",0,1.16666666666667,32
17118,"RedAverse",0,60,33
17119,"RedAverse",1,5.61666666666667,34
17119,"RedAverse",1,60,35
17121,"RedAverse",1,30.5166666666667,36
17121,"RedAverse",0,5.08333333333333,37
17122,"RedPreference",0,NA,38
17122,"RedPreference",1,53.4333333333333,39
17122,"RedPreference",1,1020,40
17123,"RedPreference",1,42.1666666666667,41
17123,"RedPreference",0,5.73333333333333,42
17124,"RedAverse",0,NA,43
17124,"RedAverse",1,13.8,44
17124,"RedAverse",0,60,45
17126,"RedPreference",0,NA,46
17126,"RedPreference",0,124.666666666667,47
17126,"RedPreference",0,14940,48
17128,"RedPreference",1,41.4,49
17128,"RedPreference",0,0.716666666666667,50
17130,"RedAverse",0,NA,51
17130,"RedAverse",1,3.65,52
17130,"RedAverse",1,60,53
