"FID","VideoID","Author","VideoDate","TotalWatch","Done","NbFAttacks","NbIntendedFAttacks","NbMAttacks","NbMphysicalInter","NBCourt","NaiveNBCourt","NbMInter","TotalMInterDur","AttackRedYN","AttackGreyBlackYN","ExcludeYN","ReasonExclusion","Remarks","DelayFirstMInter","GroupName"
102,9,"MI",2017-08-26,64,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,"RedAverse"
104,51,"LG",2017-09-03,1465,0,0,0,0,0,2,2,0,0,1,0,0,NA,NA,NA,"RedAverse"
106,29,"MI",2017-08-16,692,0,0,0,0,0,4,4,0,0,0,0,1,"BlackMaleDied",NA,NA,"RedAverse"
108,27,"LG",2017-08-08,6837,1,0,0,2,3,1,1,10,343,0,0,1,"FemaleDied","female died during video",3938,"RedAverse"
111,7,"MI",2017-08-19,1743,0,0,0,1,3,0,0,1,1652,1,0,0,NA," Male male competition very intense on video.",91,"RedAverse"
112,31,"MI",2017-08-19,426,0,1,1,2,2,3,2,1,17,0,0,1,"BlackMaleDied",NA,291,"RedPreference"
114,52,"LG",2017-08-23,1752,0,0,0,1,2,3,0,2,145,0,0,1,"FemaleStarved",NA,268,"RedAverse"
115,53,"LG",2017-08-15,1679,0,0,0,0,0,2,2,1,48,1,0,0,NA,NA,357,"RedAverse"
118,28,"LG",2017-08-08,607,1,1,1,1,2,0,0,2,291,0,1,0,NA,NA,16,"RedAverse"
119,54,"LG",2017-08-12,4756,0,0,0,0,0,2,2,2,120,1,0,0,NA,NA,654,"RedAverse"
122,11,"MI",2017-09-13,873,0,0,0,0,0,3,3,1,12,1,0,0,NA,NA,309,"RedPreference"
124,55,"LG",2017-08-18,2412,1,0,0,0,0,2,2,1,55,0,1,0,NA,NA,231,"RedAverse"
126,41,"MI",2017-09-07,653,0,0,0,0,0,7,7,0,0,0,1,0,NA,NA,NA,"RedPreference"
128,32,"MI",2017-08-08,1343,0,0,0,0,0,17,17,0,0,0,0,1,"RedMaleDied",NA,NA,"RedPreference"
130,42,"MI",2017-09-13,2678,1,4,4,0,0,6,2,5,163,1,0,0,NA,NA,876,"RedAverse"
131,33,"MI",2017-08-17,1360,0,0,0,1,1,3,2,3,11,0,0,1,"BlackMaleDied",NA,675,"RedPreference"
133,34,"MI",2017-09-19,3227,0,0,0,3,4,10,0,1,31,0,0,1,"BlackMaleDied",NA,33,"RedPreference"
134,69,"MI",2017-09-07,126,1,1,1,1,1,0,0,1,1,1,0,0,NA,NA,42,"RedAverse"
135,56,"LG",2017-08-22,7713,1,0,0,0,2,1,1,2,157,0,1,0,NA,NA,3096,"RedPreference"
137,57,"LG",2017-08-19,1283,0,0,1,0,0,2,2,0,0,0,1,0,NA,NA,NA,"RedAverse"
139,58,"LG",2017-08-29,720,0,0,0,0,0,2,2,0,0,0,1,0,NA,NA,NA,"RedPreference"
140,59,"LG",2017-08-29,845,0,0,0,1,2,2,0,1,97,0,1,0,NA,NA,189,"RedAverse"
141,60,"LG",2017-08-17,5023,1,2,5,5,6,12,1,4,77,0,1,0,NA,NA,553,"RedAverse"
142,61,"LG",2017-08-23,4318,1,1,1,0,0,3,3,3,42,1,0,0,NA,NA,1651,"RedAverse"
149,62,"LG",2017-08-17,4421,0,0,1,1,2,2,0,3,171,1,0,0,NA,NA,61,"RedAverse"
151,63,"LG",2017-08-15,915,0,0,2,0,0,4,4,2,38,0,1,0,NA,NA,588,"RedAverse"
152,64,"LG",2017-09-03,1868,0,0,1,5,7,5,3,2,23,0,1,0,NA,NA,209,"RedAverse"
158,26,"LG",2017-08-01,1004,0,0,0,3,4,2,0,4,226,0,0,1,"BlackMaleDied",NA,172,"RedPreference"
159,25,"LG",2017-08-01,2753,0,0,0,0,0,3,3,2,26,0,0,1,"FemaleStarved",NA,1781,"RedAverse"
160,12,"LG",2017-07-26,485,0,0,0,0,0,2,2,0,0,1,0,0,NA,NA,NA,"RedAverse"
161,18,"LG",2017-07-27,261,0,0,0,0,0,2,2,0,0,0,0,1,"FemaleStarved","female dies after male black forced copulation",NA,"RedPreference"
