"FID","FIDMcol","VideoIDMcol","VideoID","Author","VideoDate","TotalWatch","Done","Mcol","MID","DelayLeaveDish","NbFAttacks","NbIntendedFAttacks","NbMAttacks","NbPushPush","NbRollOverYN","NBCourt","TotalCourtDur","NaiveNBCourt","NaiveTotalCourtDur","TotalWatchNaiveCourt","ExcludeYN","ReasonExclusion","Remarks","DelayFirstFAttack","DelayConsum","DelayFirstMAttack","DelayFirstCourt","DelayNaiveFirstCourt","ConsumYN","Died","GroupName","Kaput"
102,"102Blue","9Blue",9,"MI",2017-08-26,64,1,"ZBlack",400,23,1,1,0,0,0,0,0,0,0,0,0,NA,NA,42,42,NA,NA,NA,1,0,"RedAverse",1
102,"102Yellow","9Yellow",9,"MI",2017-08-26,64,1,"ARed",292,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,"RedAverse",0
104,"104Blue","51Blue",51,"LG",2017-09-03,1465,0,"ZBlack",257,15,0,0,0,0,0,1,89,1,89,1465,0,NA,NA,NA,NA,NA,204,204,0,0,"RedAverse",0
104,"104Yellow","51Yellow",51,"LG",2017-09-03,1465,0,"ARed",54,226,0,0,0,0,0,1,81,1,81,1465,0,NA,NA,NA,NA,NA,1291,1291,1,0,"RedAverse",1
106,"106Blue","29Blue",29,"MI",2017-08-16,692,0,"ZBlack",60,0,0,0,0,0,0,2,23,2,23,692,1,"BlackMaleDied",NA,NA,NA,NA,490,490,0,1,"RedAverse",1
106,"106Yellow","29Yellow",29,"MI",2017-08-16,692,0,"ARed",221,0,0,0,0,0,0,2,14,2,14,692,1,"BlackMaleDied",NA,NA,NA,NA,261,261,0,0,"RedAverse",0
108,"108Blue","27Blue",27,"LG",2017-08-08,6837,1,"ZBlack",94,137,0,0,0,0,0,0,0,0,0,0,1,"FemaleDied","female died during video",NA,NA,NA,NA,NA,0,0,"RedAverse",0
108,"108Yellow","27Yellow",27,"LG",2017-08-08,6837,1,"ARed",36,0,0,0,2,1,0,1,2,1,2,5089,1,"FemaleDied","female died during video",NA,NA,5089,246,246,0,0,"RedAverse",0
111,"111Blue","7Blue",7,"MI",2017-08-19,1743,0,"ZBlack",15,22,0,0,0,0,0,0,0,0,0,0,0,NA," Male male competition very intense on video.",NA,NA,NA,NA,NA,0,0,"RedAverse",0
111,"111Yellow","7Yellow",7,"MI",2017-08-19,1743,0,"ARed",373,3,0,0,1,1,1,0,0,0,0,0,0,NA," Male male competition very intense on video.",NA,NA,91,NA,NA,1,0,"RedAverse",1
112,"112Blue","31Blue",31,"MI",2017-08-19,426,0,"ZBlack",349,46,1,1,0,0,0,1,8,1,8,291,1,"BlackMaleDied",NA,401,NA,NA,100,100,0,1,"RedPreference",1
112,"112Yellow","31Yellow",31,"MI",2017-08-19,426,0,"ARed",362,407,0,0,2,0,0,2,21,1,8,291,1,"BlackMaleDied",NA,NA,NA,291,256,256,0,0,"RedPreference",0
114,"114Blue","52Blue",52,"LG",2017-08-23,1752,0,"ZBlack",367,38,0,0,0,0,0,1,134,0,0,0,1,"FemaleStarved",NA,NA,NA,NA,1552,NA,0,0,"RedAverse",0
114,"114Yellow","52Yellow",52,"LG",2017-08-23,1752,0,"ARed",368,228,0,0,1,0,1,2,207,0,0,0,1,"FemaleStarved",NA,NA,NA,268,569,NA,0,0,"RedAverse",0
115,"115Blue","53Blue",53,"LG",2017-08-15,1679,0,"ZBlack",228,6,0,0,0,0,0,1,144,1,144,1679,0,NA,NA,NA,NA,NA,1188,1188,0,0,"RedAverse",0
115,"115Yellow","53Yellow",53,"LG",2017-08-15,1679,0,"ARed",81,49,0,0,0,0,0,1,546,1,546,1679,0,NA,NA,NA,NA,NA,405,405,1,0,"RedAverse",1
118,"118Blue","28Blue",28,"LG",2017-08-08,607,1,"ZBlack",44,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,346,346,NA,NA,NA,1,0,"RedAverse",1
118,"118Yellow","28Yellow",28,"LG",2017-08-08,607,1,"ARed",41,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,341,NA,NA,0,0,"RedAverse",0
119,"119Blue","54Blue",54,"LG",2017-08-12,4756,0,"ZBlack",40,0,0,0,0,0,0,1,36,1,36,4756,0,NA,NA,NA,NA,NA,4700,4700,0,0,"RedAverse",0
119,"119Yellow","54Yellow",54,"LG",2017-08-12,4756,0,"ARed",9,0,0,0,0,0,0,1,54,1,54,4756,0,NA,NA,NA,NA,NA,4424,4424,1,0,"RedAverse",1
122,"122Blue","11Blue",11,"MI",2017-09-13,873,0,"ZBlack",263,0,0,0,0,0,0,1,235,1,235,873,0,NA,NA,NA,NA,NA,529,529,0,0,"RedPreference",0
122,"122Yellow","11Yellow",11,"MI",2017-09-13,873,0,"ARed",148,0,0,0,0,0,0,2,85,2,85,873,0,NA,NA,NA,NA,NA,226,226,1,0,"RedPreference",1
124,"124Blue","55Blue",55,"LG",2017-08-18,2412,1,"ZBlack",275,57,0,0,0,0,0,1,47,1,47,2412,0,NA,NA,NA,NA,NA,289,289,1,0,"RedAverse",1
124,"124Yellow","55Yellow",55,"LG",2017-08-18,2412,1,"ARed",277,276,0,0,0,0,0,1,338,1,338,2412,0,NA,NA,NA,NA,NA,286,286,0,0,"RedAverse",0
126,"126Blue","41Blue",41,"MI",2017-09-07,653,0,"ZBlack",278,12,0,0,0,0,0,6,222,6,222,653,0,NA,NA,NA,NA,NA,98,98,1,0,"RedPreference",1
126,"126Yellow","41Yellow",41,"MI",2017-09-07,653,0,"ARed",313,0,0,0,0,0,0,1,82,1,82,653,0,NA,NA,NA,NA,NA,336,336,0,0,"RedPreference",0
128,"128Blue","32Blue",32,"MI",2017-08-08,1343,0,"ZBlack",45,15,0,0,0,0,0,17,203,17,203,1343,1,"RedMaleDied",NA,NA,NA,NA,118,118,0,0,"RedPreference",0
128,"128Yellow","32Yellow",32,"MI",2017-08-08,1343,0,"ARed",43,14,0,0,0,0,0,0,0,0,0,0,1,"RedMaleDied",NA,NA,NA,NA,NA,NA,0,1,"RedPreference",1
130,"130Blue","42Blue",42,"MI",2017-09-13,2678,1,"ZBlack",243,34,4,4,0,0,0,3,171,2,167,271,0,NA,NA,271,2615,NA,76,76,0,0,"RedAverse",0
130,"130Yellow","42Yellow",42,"MI",2017-09-13,2678,1,"ARed",258,150,0,0,0,0,0,3,120,0,0,0,0,NA,NA,NA,NA,NA,985,NA,1,0,"RedAverse",1
131,"131Blue","33Blue",33,"MI",2017-08-17,1360,0,"ZBlack",22,115,0,0,1,0,0,2,100,2,100,675,1,"BlackMaleDied",NA,NA,NA,675,331,331,0,1,"RedPreference",1
131,"131Yellow","33Yellow",33,"MI",2017-08-17,1360,0,"ARed",229,0,0,0,0,0,0,1,21,0,0,0,1,"BlackMaleDied",NA,NA,NA,NA,1339,NA,0,0,"RedPreference",0
133,"133Blue","34Blue",34,"MI",2017-09-19,3227,0,"ZBlack",97,0,0,0,3,1,0,8,1289,0,0,0,1,"BlackMaleDied",NA,NA,NA,33,742,NA,0,1,"RedPreference",1
133,"133Yellow","34Yellow",34,"MI",2017-09-19,3227,0,"ARed",64,65,0,0,0,0,0,2,42,0,0,0,1,"BlackMaleDied",NA,NA,NA,NA,2562,NA,0,0,"RedPreference",0
