"FID","Trt","AttackRedYN","LatencyAttack","rowID"
102,"RedAverse",0,NA,1
102,"RedAverse",0,4.88333333333333,2
102,"RedAverse",0,60,3
103,"RedPreference",1,44.3166666666667,4
104,"RedAverse",0,NA,5
104,"RedAverse",1,27.4333333333333,6
104,"RedAverse",1,1980,7
105,"RedPreference",1,15.25,8
106,"RedAverse",1,41.0833333333333,9
106,"RedAverse",0,24.9666666666667,10
107,"RedPreference",1,0.7,11
107,"RedPreference",1,0.833333333333333,12
108,"RedAverse",1,13.75,13
108,"RedAverse",1,25.5833333333333,14
109,"RedPreference",1,1.35,15
109,"RedPreference",1,0.366666666666667,16
111,"RedAverse",0,NA,17
111,"RedAverse",0,0.5,18
111,"RedAverse",1,4860,19
112,"RedPreference",1,1.16666666666667,20
112,"RedPreference",0,13.7333333333333,21
113,"RedPreference",0,NA,22
113,"RedPreference",1,32.55,23
114,"RedAverse",0,NA,24
114,"RedAverse",1,23.2166666666667,25
115,"RedAverse",0,NA,26
115,"RedAverse",0,2.15,27
115,"RedAverse",1,1020,28
117,"RedPreference",1,0.583333333333333,29
117,"RedPreference",1,0.433333333333333,30
118,"RedAverse",1,63.65,31
118,"RedAverse",0,1.16666666666667,32
118,"RedAverse",0,60,33
119,"RedAverse",1,5.61666666666667,34
119,"RedAverse",1,60,35
121,"RedAverse",1,30.5166666666667,36
121,"RedAverse",0,5.08333333333333,37
122,"RedPreference",0,NA,38
122,"RedPreference",1,53.4333333333333,39
122,"RedPreference",1,1020,40
123,"RedPreference",1,42.1666666666667,41
123,"RedPreference",0,5.73333333333333,42
124,"RedAverse",0,NA,43
124,"RedAverse",1,13.8,44
124,"RedAverse",0,60,45
126,"RedPreference",0,NA,46
126,"RedPreference",0,NA,47
126,"RedPreference",0,124.666666666667,48
126,"RedPreference",0,14940,49
128,"RedPreference",1,41.4,50
128,"RedPreference",0,0.716666666666667,51
130,"RedAverse",0,NA,52
130,"RedAverse",1,3.65,53
130,"RedAverse",1,60,54
131,"RedPreference",1,90.2166666666667,55
131,"RedPreference",0,5.98333333333333,56
132,"RedPreference",1,1.88333333333333,57
132,"RedPreference",1,5.01666666666667,58
133,"RedPreference",1,1.78333333333333,59
133,"RedPreference",0,6.98333333333333,60
134,"RedAverse",0,NA,61
134,"RedAverse",1,7.81666666666667,62
134,"RedAverse",1,60,63
135,"RedPreference",1,2.93333333333333,64
135,"RedPreference",0,18.4666666666667,65
135,"RedPreference",0,3900,66
137,"RedAverse",0,NA,67
137,"RedAverse",0,2.53333333333333,68
137,"RedAverse",0,1020,69
139,"RedPreference",0,NA,70
139,"RedPreference",1,0.983333333333333,71
139,"RedPreference",0,11580,72
140,"RedAverse",1,98.2,73
140,"RedAverse",0,1.05,74
140,"RedAverse",0,2940,75
141,"RedAverse",1,4.55,76
141,"RedAverse",0,9.73333333333333,77
141,"RedAverse",0,60,78
142,"RedAverse",1,3.58333333333333,79
142,"RedAverse",0,2.75,80
142,"RedAverse",1,60,81
143,"RedPreference",1,30.95,82
143,"RedPreference",0,10.3,83
149,"RedAverse",0,NA,84
149,"RedAverse",0,7.73333333333333,85
149,"RedAverse",1,540,86
151,"RedAverse",1,22.0833333333333,87
151,"RedAverse",0,5.96666666666667,88
151,"RedAverse",0,1500,89
152,"RedAverse",0,NA,90
152,"RedAverse",0,18.8666666666667,91
152,"RedAverse",0,540,92
153,"RedPreference",0,NA,93
153,"RedPreference",0,19.9166666666667,94
154,"RedPreference",1,0.733333333333333,95
154,"RedPreference",1,3.7,96
155,"RedPreference",1,1.4,97
155,"RedPreference",0,0.433333333333333,98
156,"RedPreference",1,115.03,99
156,"RedPreference",0,11.97,100
158,"RedPreference",1,14.2666666666667,101
158,"RedPreference",1,11.7666666666667,102
159,"RedAverse",0,NA,103
159,"RedAverse",0,39.5,104
160,"RedAverse",1,28.5833333333333,105
160,"RedAverse",1,5.78333333333333,106
160,"RedAverse",1,540,107
161,"RedPreference",0,NA,108
161,"RedPreference",0,NA,109
161,"RedPreference",0,NA,110
161,"RedPreference",1,276.65,111
162,"RedPreference",1,1.43333333333333,112
162,"RedPreference",1,25.1333333333333,113
162,"RedPreference",1,2940,114
163,"RedAverse",0,NA,115
163,"RedAverse",1,1.65,116
163,"RedAverse",1,4380,117
164,"RedPreference",1,16.1833333333333,118
164,"RedPreference",0,1.51666666666667,119
164,"RedPreference",0,60,120
165,"RedPreference",1,9.08333333333333,121
165,"RedPreference",1,1.01666666666667,122
166,"RedAverse",1,2.53333333333333,123
166,"RedAverse",0,15.65,124
167,"RedAverse",1,36.4833333333333,125
167,"RedAverse",0,36.6666666666667,126
168,"RedPreference",1,6.78333333333333,127
168,"RedPreference",1,13.6666666666667,128
169,"RedPreference",1,1.96666666666667,129
169,"RedPreference",0,0.766666666666667,130
169,"RedPreference",0,540,131
170,"RedAverse",1,2.43333333333333,132
170,"RedAverse",1,4.76666666666667,133
171,"RedAverse",1,115,134
171,"RedAverse",0,NA,135
171,"RedAverse",0,NA,136
171,"RedAverse",0,60,137
172,"RedAverse",1,23.5666666666667,138
172,"RedAverse",1,14.1333333333333,139
172,"RedAverse",0,540,140
173,"RedPreference",0,NA,141
173,"RedPreference",0,0.566666666666667,142
173,"RedPreference",0,2460,143
174,"RedAverse",0,NA,144
174,"RedAverse",1,1,145
174,"RedAverse",0,5340,146
175,"RedPreference",1,1.1,147
175,"RedPreference",1,18.3166666666667,148
175,"RedPreference",0,3420,149
186,"RedPreference",0,NA,150
186,"RedPreference",1,48.8333333333333,151
186,"RedPreference",0,5340,152
188,"RedAverse",1,26.6833333333333,153
188,"RedAverse",0,1.36666666666667,154
189,"RedPreference",0,NA,155
190,"RedAverse",0,NA,156
190,"RedAverse",1,3.45,157
190,"RedAverse",0,60,158
191,"RedPreference",1,0.233333333333333,159
191,"RedPreference",1,7.76666666666667,160
192,"RedPreference",0,NA,161
192,"RedPreference",0,8.35,162
193,"RedPreference",0,NA,163
193,"RedPreference",1,79.9666666666667,164
194,"RedAverse",0,NA,165
194,"RedAverse",0,NA,166
194,"RedAverse",0,130.233333333333,167
194,"RedAverse",0,10620,168
195,"RedAverse",1,63.4,169
195,"RedAverse",1,21.0833333333333,170
195,"RedAverse",0,4860,171
196,"RedPreference",1,21.1166666666667,172
196,"RedPreference",0,43.2333333333333,173
200,"RedAverse",1,33.0666666666667,174
200,"RedAverse",0,3.71666666666667,175
200,"RedAverse",0,1020,176
202,"RedPreference",1,5.86666666666667,177
202,"RedPreference",1,0.366666666666667,178
202,"RedPreference",0,60,179
203,"RedAverse",0,NA,180
203,"RedAverse",0,5.01666666666667,181
203,"RedAverse",0,4380,182
204,"RedPreference",1,7.75,183
204,"RedPreference",0,10.8666666666667,184
204,"RedPreference",0,1020,185
206,"RedAverse",0,NA,186
206,"RedAverse",0,4.21666666666667,187
206,"RedAverse",0,60,188
207,"RedPreference",0,NA,189
207,"RedPreference",0,NA,190
207,"RedPreference",1,122.133333333333,191
209,"RedAverse",1,39.95,192
209,"RedAverse",0,15.7333333333333,193
209,"RedAverse",0,540,194
210,"RedAverse",0,NA,195
210,"RedAverse",1,1.63333333333333,196
210,"RedAverse",0,540,197
211,"RedPreference",0,NA,198
211,"RedPreference",0,1.46666666666667,199
211,"RedPreference",0,1500,200
223,"RedPreference",1,46.7833333333333,201
223,"RedPreference",1,4.15,202
223,"RedPreference",1,60,203
224,"RedPreference",0,NA,204
224,"RedPreference",1,10.4166666666667,205
224,"RedPreference",0,14460,206
226,"RedPreference",1,0.333333333333333,207
226,"RedPreference",0,1.85,208
226,"RedPreference",0,8700,209
227,"RedPreference",1,39.95,210
227,"RedPreference",1,94.3,211
227,"RedPreference",0,540,212
236,"RedAverse",0,NA,213
236,"RedAverse",1,17.25,214
236,"RedAverse",0,540,215
239,"RedPreference",0,NA,216
241,"RedPreference",0,NA,217
241,"RedPreference",0,NA,218
241,"RedPreference",0,NA,219
241,"RedPreference",1,334.4,220
249,"RedAverse",0,NA,221
249,"RedAverse",0,6.26666666666667,222
250,"RedPreference",0,NA,223
250,"RedPreference",1,1.15,224
250,"RedPreference",1,1020,225
252,"RedAverse",0,NA,226
252,"RedAverse",1,16.0166666666667,227
252,"RedAverse",0,60,228
253,"RedAverse",0,NA,229
253,"RedAverse",1,36.1,230
254,"RedPreference",0,NA,231
254,"RedPreference",1,6.2,232
254,"RedPreference",1,540,233
264,"RedPreference",1,0.766666666666667,234
264,"RedPreference",1,0.433333333333333,235
265,"RedAverse",1,119.85,236
265,"RedAverse",1,3.76666666666667,237
265,"RedAverse",1,2460,238
266,"RedPreference",0,NA,239
266,"RedPreference",0,NA,240
266,"RedPreference",0,NA,241
266,"RedPreference",0,NA,242
266,"RedPreference",0,NA,243
266,"RedPreference",0,NA,244
266,"RedPreference",0,NA,245
266,"RedPreference",1,835,246
266,"RedPreference",0,1020,247
267,"RedPreference",0,NA,248
267,"RedPreference",0,1.93333333333333,249
267,"RedPreference",0,60,250
269,"RedPreference",1,7.45,251
269,"RedPreference",1,11.8333333333333,252
269,"RedPreference",1,540,253
270,"RedPreference",0,NA,254
270,"RedPreference",1,8.96666666666667,255
270,"RedPreference",1,1500,256
271,"RedPreference",0,NA,257
271,"RedPreference",0,NA,258
271,"RedPreference",0,NA,259
271,"RedPreference",0,NA,260
271,"RedPreference",1,462.666666666667,261
271,"RedPreference",0,2460,262
281,"RedAverse",0,NA,263
281,"RedAverse",0,1.41666666666667,264
281,"RedAverse",1,60,265
282,"RedAverse",0,NA,266
282,"RedAverse",0,11,267
283,"RedPreference",0,NA,268
283,"RedPreference",0,2.6,269
283,"RedPreference",1,1980,270
284,"RedAverse",0,NA,271
284,"RedAverse",0,24.0333333333333,272
284,"RedAverse",0,1020,273
285,"RedPreference",1,20.0333333333333,274
285,"RedPreference",1,17.45,275
285,"RedPreference",0,1500,276
286,"RedPreference",1,0.866666666666667,277
286,"RedPreference",0,4.95,278
286,"RedPreference",0,60,279
294,"RedAverse",0,NA,280
295,"RedPreference",0,NA,281
295,"RedPreference",1,24.25,282
295,"RedPreference",0,1500,283
297,"RedAverse",0,NA,284
297,"RedAverse",0,1.63333333333333,285
297,"RedAverse",1,60,286
298,"RedPreference",0,NA,287
298,"RedPreference",1,13.8166666666667,288
298,"RedPreference",0,1500,289
299,"RedPreference",1,21.2833333333333,290
299,"RedPreference",0,3.68333333333333,291
299,"RedPreference",0,2940,292
301,"RedPreference",0,NA,293
301,"RedPreference",0,11.8833333333333,294
301,"RedPreference",0,1020,295
318,"RedAverse",0,NA,296
318,"RedAverse",0,43.8166666666667,297
319,"RedAverse",1,20.7666666666667,298
319,"RedAverse",1,5.66666666666667,299
319,"RedAverse",1,1980,300
320,"RedPreference",0,NA,301
320,"RedPreference",0,NA,302
320,"RedPreference",0,NA,303
320,"RedPreference",1,243.233333333333,304
320,"RedPreference",0,60,305
323,"RedAverse",0,NA,306
323,"RedAverse",0,NA,307
323,"RedAverse",0,124.2,308
323,"RedAverse",0,8220,309
337,"RedPreference",1,3.51666666666667,310
337,"RedPreference",0,0.766666666666667,311
337,"RedPreference",1,2460,312
340,"RedPreference",1,38.0333333333333,313
340,"RedPreference",0,42.3,314
340,"RedPreference",1,1980,315
341,"RedAverse",0,NA,316
341,"RedAverse",1,12.68,317
341,"RedAverse",0,13520,318
342,"RedPreference",1,28.0333333333333,319
342,"RedPreference",0,2.51666666666667,320
343,"RedPreference",1,0.416666666666667,321
343,"RedPreference",0,6.86666666666667,322
343,"RedPreference",0,540,323
404,"RedAverse",0,NA,324
404,"RedAverse",0,1.57,325
404,"RedAverse",1,60,326
406,"RedPreference",1,10.05,327
406,"RedPreference",1,76.07,328
406,"RedPreference",0,2480,329
408,"RedAverse",1,28.28,330
